Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
88,Elon,32,16,16,0.5,-0.39,0.94,7,11,8,8,8,7,2429,2413,,71.7,104.8,0.322,0.306,0.528,50.7,44.8,8.9,12.1,0.502,14.3,29.7,0.215
89,Evansville,34,25,9,0.735,8.05,-0.44,12,6,13,3,8,4,2526,2221,,68.9,94.1,0.296,0.324,0.496,47.8,51.1,8.2,8.9,0.457,16.4,30,0.218
90,Fairfield,32,19,13,0.594,-2.94,-2.69,12,8,11,4,7,7,2460,2468,,72.2,104.8,0.342,0.36,0.527,53.8,50.2,8.1,7.5,0.495,16.1,37.2,0.235
91,Fairleigh Dickinson,32,18,14,0.563,-9.99,-8.32,11,7,9,6,9,8,2493,2504,,72.2,107.1,0.463,0.366,0.557,53.4,55.2,8.7,8.6,0.517,18.1,35,0.324
92,Florida A&amp;M,29,8,21,0.276,-21.42,-10.34,4,12,6,6,1,14,1863,2128,,70.8,101,0.381,0.347,0.533,53.1,45.4,10.5,8,0.499,18,29.1,0.261
93,Florida Atlantic,33,8,25,0.242,-10.17,-1.59,5,13,5,7,2,14,2189,2445,,68.5,107.8,0.371,0.251,0.539,54.4,47.4,8.7,12.1,0.502,14.4,31.4,0.263
94,Florida Gulf Coast,33,20,13,0.606,-1.69,-4.41,8,6,16,4,4,8,2540,2325,,69.4,98.9,0.34,0.362,0.504,46.7,46.9,9.2,6.7,0.469,15.1,30.3,0.233
95,Florida International,32,13,19,0.406,-5.16,-4.73,7,11,7,9,5,8,2277,2242,,66.8,103.3,0.35,0.384,0.506,48.2,53,8.8,8,0.47,12.7,34.1,0.239
96,Florida State,32,19,13,0.594,12.63,8.32,8,10,10,4,4,7,2499,2361,,71.7,102.5,0.37,0.367,0.539,47.7,50.2,7.5,7.6,0.507,16.7,29.3,0.252
97,Florida,33,19,14,0.576,14.95,9.92,9,9,12,4,4,8,2429,2263,,70,97.6,0.364,0.315,0.5,48.7,48.4,7.7,9.5,0.464,16,28.3,0.245
98,Fordham,30,17,13,0.567,2.46,0.32,8,10,14,4,3,7,2140,2059,,68.2,99.4,0.407,0.39,0.55,48.6,63.3,9.5,8.5,0.513,20.1,25.4,0.287
99,Fresno State,34,25,9,0.735,5.25,1.78,13,5,16,2,6,7,2561,2395,,70.1,99,0.445,0.395,0.526,49.2,52.7,6.2,7.4,0.483,18.5,27.6,0.309
100,Furman,33,18,15,0.545,-2.45,-4.12,11,7,13,1,3,12,2357,2196,,66.2,100.5,0.368,0.369,0.53,46.9,49.4,9.4,9,0.499,17,28.3,0.248
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
101,Gardner-Webb,33,17,16,0.515,-6.56,-3.59,10,8,9,4,5,11,2476,2451,,70.9,103.5,0.393,0.367,0.547,49.2,51.3,9,8.4,0.509,17.3,26.1,0.281
102,George Mason,32,11,21,0.344,-1.66,3.74,5,13,7,8,2,11,2140,2313,,67.6,106.1,0.3,0.348,0.517,44.9,49.1,8,9.5,0.484,9.1,22.2,0.214
103,George Washington,33,23,10,0.697,10.17,3.66,11,7,14,3,7,5,2483,2268,,67.4,101.2,0.279,0.352,0.523,46.1,46.4,8.7,9.3,0.493,15.3,27.2,0.197
104,Georgetown,33,15,18,0.455,10.11,8.29,7,11,9,8,4,8,2430,2370,,69.1,102.8,0.493,0.31,0.522,49.2,53.8,8.9,8.3,0.466,14.2,30.8,0.356
105,Georgia Southern,31,14,17,0.452,-5.46,-2.94,10,10,10,4,4,12,2353,2307,,71.2,103.6,0.436,0.404,0.542,52.1,49.2,6.6,11.9,0.503,18.1,30.4,0.302
106,Georgia State,30,16,14,0.533,-2.68,-2.07,9,11,12,3,4,10,1971,1950,,65.1,98.2,0.414,0.41,0.523,53.1,58.5,8,7.9,0.475,18.7,31.2,0.301
107,Georgia Tech,33,19,14,0.576,12.14,9.96,8,10,13,5,4,7,2417,2345,,67.1,105.5,0.321,0.308,0.526,44.9,47.5,6.9,6.3,0.492,12.9,27.6,0.23
108,Georgia,32,19,13,0.594,10.03,8.94,10,8,14,4,3,8,2243,2208,,68.1,100.5,0.415,0.387,0.495,47.8,49.5,9.2,10.2,0.447,13.4,32.6,0.291
109,Gonzaga,33,26,7,0.788,16.26,3.51,15,3,11,4,9,2,2630,2186,,68.1,96.9,0.284,0.334,0.484,44.9,43.3,8.2,7.6,0.449,13,30.7,0.2
110,Grambling,31,7,24,0.226,-19.34,-8.2,4,14,5,7,2,15,1924,2110,,67.2,100.4,0.403,0.371,0.527,52.4,55,9.7,10.6,0.493,17.7,30.6,0.268
111,Grand Canyon,32,26,6,0.813,1.86,-5.38,11,3,16,2,7,4,2459,2202,,70.3,97.5,0.352,0.364,0.515,47.2,45.6,8.7,8.8,0.484,17,27.5,0.234
112,Green Bay,35,23,12,0.657,1.43,-1.27,11,7,11,3,8,9,2948,2788,,77.3,102,0.354,0.339,0.543,51,50.5,7.4,10.1,0.508,18.8,29.2,0.253
113,Hampton,31,21,10,0.677,-8.2,-9.1,13,3,9,2,8,7,2318,2289,,72.1,100.4,0.367,0.328,0.52,46.7,41.2,7.9,10.1,0.477,15.1,25.5,0.265
114,Hartford,33,10,23,0.303,-14.09,-5.49,4,12,4,12,6,11,2336,2588,,70,110,0.408,0.345,0.557,58.3,54.9,7.4,10.9,0.531,16,34.5,0.267
115,Harvard,30,14,16,0.467,-0.93,-0.21,6,8,8,5,4,10,2001,1985,,67.1,98.3,0.327,0.354,0.499,47.9,52.1,10.7,7,0.46,15,29.6,0.233
116,Hawaii,32,27,5,0.844,8.9,-1.9,13,3,16,3,7,2,2483,2128,,71.4,92.8,0.383,0.35,0.499,46.7,49,8.3,7.4,0.453,18.2,28.7,0.272
117,High Point,31,21,10,0.677,0.19,-4.45,13,5,12,3,8,6,2407,2170,,67.8,102.4,0.33,0.382,0.545,49.3,46.1,7.7,7.5,0.514,18.8,31.9,0.232
118,Hofstra,33,24,9,0.727,5.19,0.75,14,4,11,2,9,4,2601,2427,,70.2,102.5,0.235,0.34,0.516,48.5,51.6,7.4,9.8,0.495,14.3,30.5,0.157
119,Holy Cross,33,14,19,0.424,-10.86,-6.52,5,13,8,6,5,13,2156,2299,,64.6,105.8,0.338,0.412,0.564,54.2,59.3,8.4,9.4,0.532,17.7,26.8,0.244
120,Houston Baptist,33,17,16,0.515,-10.26,-5.08,10,8,12,3,4,10,2539,2513,,72.3,105.3,0.348,0.323,0.532,48.8,55.8,9.5,9.2,0.493,14.9,34.4,0.252
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
