Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
38,Cal State Bakersfield,32,24,8,0.75,2.74,-5.75,11,3,14,1,7,7,2337,2022,,1290,849,1881,0.451,174,506,0.344,465,712,0.653,400,1228,501,257,162,390,686
39,Cal State Fullerton,30,10,20,0.333,-6.88,-0.53,3,13,5,8,5,9,2104,2227,,1205,698,1703,0.41,193,582,0.332,515,743,0.693,335,1116,304,147,48,392,610
40,Cal State Northridge,30,10,20,0.333,-6.58,-0.58,5,11,5,7,4,12,2143,2261,,1225,745,1723,0.432,126,425,0.296,527,735,0.717,303,1086,423,203,96,419,604
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
41,UC-Davis,30,11,19,0.367,-5.31,-0.99,6,10,8,7,3,11,1914,1980,,1225,697,1608,0.433,164,463,0.354,356,557,0.639,255,1033,342,186,49,427,531
42,UC-Irvine,34,25,9,0.735,5.69,1.1,13,3,11,2,10,4,2417,2240,,1370,863,1876,0.46,211,569,0.371,480,702,0.684,328,1251,518,189,179,417,626
43,UC-Riverside,33,14,19,0.424,-5.43,-2.85,5,11,7,9,7,9,2299,2300,,1320,788,1839,0.428,252,716,0.352,471,670,0.703,328,1163,410,170,101,433,654
44,UC-Santa Barbara,31,18,13,0.581,4.47,1.7,11,5,6,5,10,6,2216,2092,,1245,816,1837,0.444,236,643,0.367,348,493,0.706,327,1163,473,189,95,389,613
45,University of California,33,23,10,0.697,16.36,8.27,12,6,18,0,4,7,2479,2212,,1335,867,1875,0.462,233,632,0.369,512,780,0.656,370,1312,424,136,158,399,682
46,Campbell,30,12,18,0.4,-10.75,-6.34,5,13,7,9,5,8,2207,2203,,1205,744,1671,0.445,224,675,0.332,495,690,0.717,242,967,345,214,72,353,582
47,Canisius,33,14,19,0.424,-5.24,-3.39,8,12,7,7,4,11,2526,2587,,1355,845,2014,0.42,285,836,0.341,551,744,0.741,393,1116,466,199,88,368,640
48,Central Arkansas,28,7,21,0.25,-14.93,-6.57,6,12,4,6,2,14,2110,2344,,1120,734,1656,0.443,185,497,0.372,457,694,0.659,331,1044,370,152,104,405,575
49,Central Connecticut State,29,4,25,0.138,-22.06,-8.96,3,15,3,11,1,14,1888,2268,,1175,682,1704,0.4,164,480,0.342,360,530,0.679,336,1046,341,127,107,402,505
50,Central Florida,30,12,18,0.4,0.37,3.2,6,12,8,8,4,9,2062,2147,,1210,715,1663,0.43,207,650,0.318,425,619,0.687,329,1166,379,137,139,440,467
51,Central Michigan,32,17,15,0.531,-0.19,-0.95,10,8,13,3,4,8,2422,2325,,1285,841,1903,0.442,309,874,0.354,431,600,0.718,319,1119,426,152,87,293,593
52,Charleston Southern,30,9,21,0.3,-10.59,-2.25,5,13,6,8,3,12,2146,2253,,1210,774,1808,0.428,280,810,0.346,318,512,0.621,308,1053,379,153,63,378,576
53,Charlotte,33,14,19,0.424,-3.03,-1.61,9,9,8,7,5,8,2584,2631,,1340,920,2066,0.445,266,696,0.382,478,685,0.698,370,1196,481,204,73,394,588
54,Chattanooga,34,29,5,0.853,3.91,-3.78,15,3,13,1,10,4,2578,2265,,1370,869,1904,0.456,259,712,0.364,581,793,0.733,371,1217,495,265,163,422,577
55,Chicago State,32,4,28,0.125,-17.31,-1.18,0,14,4,9,0,15,2140,2478,,1280,764,1995,0.383,228,750,0.304,384,573,0.67,413,1172,375,246,98,456,697
56,Cincinnati,32,22,10,0.688,15.58,5.27,12,6,14,3,6,6,2342,2012,,1315,823,1925,0.428,242,701,0.345,454,645,0.704,427,1260,495,254,186,353,498
57,Citadel,32,10,22,0.313,-15.61,-4.4,3,15,6,8,3,13,2753,2962,,1285,938,2242,0.418,363,1121,0.324,514,704,0.73,400,1148,489,281,99,438,770
