,Team_ID,Date,Var.5,Opponent,School,School_url,Var.8,Opponent_url,Pace,EFG,TOV,ORB,FTFGA,O_EFG,O_TOV,O_ORB,O_FTFGA
1356,central-arkansas,"Sat, Nov 14, 2015",@,Tulsa,Central Arkansas,central-arkansas,L,tulsa,75.6,0.605,20.9,28.0,0.211,0.662,13.2,26.7,0.185
1382,central-connecticut-state,"Fri, Nov 13, 2015",,Hartford,Central Connecticut State,central-connecticut-state,L,hartford,69.0,0.454,13.0,30.2,0.184,0.5,6.9,8.3,0.394
1411,central-florida,"Sat, Nov 14, 2015",@,Davidson,Central Florida,central-florida,L,davidson,84.5,0.493,11.0,21.1,0.265,0.46,6.4,20.9,0.28
1440,central-michigan,"Fri, Nov 13, 2015",,Jacksonville State,Central Michigan,central-michigan,W,jacksonville-state,71.5,0.604,16.4,37.0,0.646,0.493,9.3,36.8,0.183
1468,charleston-southern,"Fri, Nov 13, 2015",@,Wichita State (10),Charleston Southern,charleston-southern,L,wichita-state,70.4,0.458,17.5,3.4,0.396,0.5,7.4,45.7,0.544
1553,chicago-state,"Fri, Nov 13, 2015",,Illinois Tech,Chicago State,chicago-state,W,illinois-tech,97.3,,,,,0.659,9.5,43.9,0.187
1668,cleveland-state,"Tue, Nov 17, 2015",,Malone,Cleveland State,cleveland-state,W,malone,65.1,,,,,0.466,16.7,41.2,0.138
1695,coastal-carolina,"Wed, Nov 18, 2015",,Grace Bible,Coastal Carolina,coastal-carolina,W,grace-bible,75.9,,,,,0.599,6.6,43.2,0.171
1751,college-of-charleston,"Fri, Nov 13, 2015",,South Carolina State,College of Charleston,college-of-charleston,W,south-carolina-state,69.6,0.5,16.6,32.1,0.48,0.348,13.4,19.4,0.268
1780,colorado-state,"Sat, Nov 14, 2015",@,Northern Iowa,Colorado State,colorado-state,W,northern-iowa,71.3,0.556,10.2,20.0,0.242,0.578,14.7,18.8,0.19
1894,coppin-state,"Fri, Nov 13, 2015",@,Eastern Kentucky,Coppin State,coppin-state,L,eastern-kentucky,88.3,0.448,19.8,34.1,0.299,0.593,11.3,27.8,0.24
2063,delaware-state,"Fri, Nov 13, 2015",,Delaware,Delaware State,delaware-state,L,delaware,65.9,0.438,11.0,14.3,0.0,0.479,19.4,30.0,0.333
2177,detroit-mercy,"Mon, Nov 16, 2015",,Central State (OH),Detroit Mercy,detroit-mercy,W,central-state-oh,88.9,,,,,0.634,27.2,25.0,0.304
2340,east-tennessee-state,"Sat, Nov 14, 2015",,Averett,East Tennessee State,east-tennessee-state,W,averett,83.3,,,,,0.577,9.9,41.9,0.492
2371,eastern-illinois,"Fri, Nov 13, 2015",@,Indiana (15),Eastern Illinois,eastern-illinois,L,indiana,67.5,0.38,18.2,11.8,0.22,0.598,17.2,65.6,0.246
