Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
111,Grand Canyon,31,25,6,0.806,2.13,-5.22,11,3,16,2,7,4,2381,2128,,70.2,109,0.426,0.287,0.549,52.8,56.2,8.7,7.1,0.51,15,32.4,0.3
112,Green Bay,35,23,12,0.657,1.43,-1.27,11,7,11,3,8,9,2948,2788,,77.3,107.8,0.429,0.306,0.534,49,47.4,12.6,11.1,0.501,13.4,31.3,0.282
113,Hampton,31,21,10,0.677,-8.23,-9.13,13,3,9,2,8,7,2318,2289,,72.1,101.7,0.421,0.345,0.505,53.3,47.5,7.4,9.3,0.468,16,35,0.277
114,Hartford,33,10,23,0.303,-14.09,-5.5,4,12,4,12,6,11,2336,2588,,70,99.3,0.325,0.473,0.531,41.7,52.5,9.4,4.9,0.491,15,19,0.243
115,Harvard,30,14,16,0.467,-0.93,-0.22,6,8,8,5,4,10,2001,1985,,67.1,99.1,0.319,0.345,0.527,52.1,61.6,7.4,13.5,0.512,18.8,30.7,0.19
116,Hawaii,32,27,5,0.844,8.91,-1.89,13,3,16,3,7,2,2483,2128,,71.4,108.2,0.457,0.386,0.559,53.3,59.8,11,10.2,0.525,16,31.6,0.311
117,High Point,31,21,10,0.677,0.18,-4.46,13,5,12,3,8,6,2407,2170,,67.8,113.6,0.369,0.255,0.571,50.7,55.5,11.8,8.8,0.53,13.7,31.9,0.282
118,Hofstra,33,24,9,0.727,5.18,0.74,14,4,11,2,9,4,2601,2427,,70.2,109.8,0.404,0.394,0.547,51.5,56.1,8.7,7.7,0.514,14.1,31.7,0.278
119,Holy Cross,33,14,19,0.424,-10.86,-6.53,5,13,8,6,5,13,2156,2299,,64.6,99.2,0.361,0.404,0.516,45.8,62.3,9.8,8,0.479,14.8,23.6,0.25
120,Houston Baptist,33,17,16,0.515,-10.21,-5.04,10,8,12,3,4,10,2539,2513,,72.3,106.4,0.449,0.294,0.568,51.2,52.1,7.4,9.5,0.529,18.1,30.6,0.321
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
121,Houston,31,22,9,0.71,11.08,2.08,12,6,15,3,6,4,2414,2135,,66.4,115,0.348,0.324,0.554,51.9,46.1,8.9,10.4,0.524,13.1,36.1,0.245
122,Howard,32,12,20,0.375,-14.15,-8.05,6,10,8,7,2,12,2311,2433,,72.2,98.5,0.495,0.263,0.507,49.4,36.7,8.4,8.1,0.445,17.4,33.2,0.361
123,Idaho State,31,16,15,0.516,-9.64,-6.5,11,7,10,3,5,10,2297,2357,,71.8,103.1,0.396,0.389,0.547,48.1,49.4,10.1,8,0.506,16.4,25.5,0.288
